text,spam
"Did you just reset your password? We noticed a recent password change request for your account. If this was you, no further action is needed. If you did not request this change, please contact our support team immediately.",0
Welcome to Facebook. Thank you for joining Facebook! We're excited to have you on board. Start connecting with your friends and explore what's happening around you.,0
"Learn more about our updated Terms of Service. Dear user, we have updated our Terms of Service. Please review the new terms to stay informed about your rights and obligations.",0
Action needed on your Facebook account. Your Facebook account requires immediate attention. Please log in to verify your information and ensure your account's security.,0
"Sign in alert for your LinkedIn account. We detected a sign-in attempt from a new device. If this was you, you can ignore this message. If you did not attempt to sign in, please secure your account.",0
You've received messages on Fiverr. You have new messages from potential clients on Fiverr. Log in to your account to read and respond to your messages.,0
[ZEGOCLOUD] Your trial account has expired. Your trial period for ZEGOCLOUD services has ended. Upgrade to a premium account to continue using our services without interruption.,0
[ZEGOCLOUD] Trial Account - valid period: 5 days. Welcome to ZEGOCLOUD! Your trial account is active for 5 days. Explore our features and let us know if you have any questions.,0
"Congratulations! You've won a $1,000 gift card. You have been selected as the winner of a $1,000 gift card. Click the link below to claim your prize.",1
Your account has been temporarily suspended. We noticed unusual activity on your account. Click here to verify your account information and restore full access.,1
Urgent: Verify your account now. Your account is at risk of being deactivated. Verify your information immediately by clicking the link below.,1
You have a new voicemail. You have received a new voicemail message. Access your voicemail by clicking the link below.,1
Earn $500 per day working from home. Discover how you can earn $500 per day from the comfort of your home. No experience required. Sign up now!,1
Limited-time offer: Get 50% off your purchase. Hurry up! Get 50% off on all products. This offer is valid only for today. Click here to shop now.,1
"Unlock exclusive rewards now. As a valued customer, you are eligible for exclusive rewards. Click here to unlock your rewards today.",1
Your order is on hold. Your recent order is on hold due to payment issues. Please update your payment information by clicking the link below.,1
985039 is your Facebook account recovery code,0
[ZEGOCLOUD] App recycling notification,0
[ZEGOCLOUD] App recycling warning,0
Learn more about our updated Terms of Service,0
Action needed on your Facebook account,0
Sign in alert for your LinkedIn account,0
[ZEGOCLOUD] Your trial account has expired.,0
[ZEGOCLOUD] Trial Account - valid period: 5 days,0
[ZEGOCLOUD] Your Advanced Support Plan Trial has expired.,0
You've received messages from saadatullah292,0